"Event, optional label",Event label,Location name,Station Status,Status2,Latitude,Longitude,Elevation,Date/Time Start,Date/Time End,Comment,URL
Alert,ALE,Lincoln Sea,Running,Operational,82.49,-62.42,127,8/16/2004,,"BSRN station no: 18; Surface type: tundra; Topography type: hilly, rural; Station scientist: Christopher Cox (christopher.j.cox@noaa.gov)",
Alice Springs,ASP,"Macdonnell Ranges, Northern Territory, Australia",Running,Operational,-23.798,133.888,547,1/1/1995,,"BSRN station no: 1; Surface type: grass; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.669509; Station scientist: Nicole Hyett (N.Hyett@bom.gov.au)",
Barrow,BAR,"Alaska, USA",Running,Operational,71.323,-156.607,8,1/1/1992,,"BSRN station no: 22; Surface type: tundra; Topography type: flat, rural; Station scientist: David Longenecker (David.U.Longenecker@noaa.gov)",http://www.esrl.noaa.gov/gmd/obop/brw/
Bermuda,BER,Bermuda,Running,Operational,32.267,-64.667,8,1/1/1992,,"BSRN station no: 24; Surface type: water, ocean; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.669510; Station scientist: David Longenecker (David.U.Longenecker@noaa.gov)",http://www.esrl.noaa.gov/gmd/dv/site/BPH.html
Billings,BIL,"Oklahoma, United States of America",Running,Operational,36.605,-97.516,317,6/1/1993,,"BSRN station no: 28; Surface type: grass; Topography type: flat, rural; Station scientist: Charles Long (chuck.long@noaa.gov)",
Bondville,BON,"Illinois, United States of America",Running,Operational,40.0667,-88.3667,213,1/1/1995,,"BSRN station no: 32; Surface type: grass; Topography type: flat, rural; Station scientist: John A. Augustine (john.a.augustine@noaa.gov)",http://www.srrb.noaa.gov/surfrad/bondvill.html
Boulder,BOU,"Colorado, United States of America",Closed,Not operational,40.05,-105.007,1577,1/1/1992,6/30/2016,"BSRN station no: 23; Surface type: grass; Topography type: flat, rural; Station scientist: David Longenecker (David.U.Longenecker@noaa.gov) ** Station closed in July 2016 **",
Boulder,BOS,"Colorado, United States of America",Running,Operational,40.125,-105.237,1689,7/1/1995,,"BSRN station no: 34; Surface type: grass; Topography type: hilly, rural; Station scientist: John A. Augustine (john.a.augustine@noaa.gov)",http://www.srrb.noaa.gov/surfrad/tablemt.html
Brasilia,BRB,"Brasilia City, Distrito Federal, Brazil",Running,Operational,-15.601,-47.713,1023,2/1/2006,,"BSRN station no: 71; Surface type: concrete; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.695899; Station scientist: Enio Bueno Pereira (enio.pereira@inpe.br)",
Cabauw,CAB,The Netherlands,Running,Operational,51.9711,4.9267,0,12/1/2005,,"BSRN station no: 53; Surface type: grass; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.669511; Station scientist: Wouter Knap (knap@knmi.nl)",http://www.knmi.nl/bsrn/
Camborne,CAM,United Kingdom,Running,Operational,50.2167,-5.3167,88,1/1/2001,,"BSRN station no: 50; Surface type: grass; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.669512; Station scientist: Jonathan Tamlyn (jonathan.tamlyn@metoffice.gov.uk)",http://hdl.handle.net/10013/epic.47488.d001
Cape Baranova,CAP,Russia,Candidate,Not operational,79.27,101.75,0,,,BSRN Candidate. Station no: 15; Station scientist: Vasili Kustov (kustov@aari.nw.ru),http://www.aari.ru/main.php?lg=1
Carpentras,CAR,France,Running,Operational,44.083,5.059,100,8/1/1996,,"BSRN station no: 10; Surface type: cultivated; Topography type: hilly, rural; Station scientist: Thierry Duprat (thierry.duprat@meteo.fr)",
Cener,CNR,"Spain, Sarriguren, Navarra",Running,Operational,42.816,-1.601,471,7/1/2009,,"BSRN station no: 45; Surface type: asphalt; Topography type: mountain valley, urban; Station scientist: Xabier Olano (xolano@cener.com)",http://www.cener.com/
Chesapeake Light,CLH,North Atlantic Ocean,Running,Operational,36.905,-75.713,37,6/1/2000,12/31/2017,"BSRN station no: 39; Surface type: water, ocean; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.669513; Station scientist: Fred M. Denn (Frederick.M.Denn@nasa.gov) ** Inactive, structural issues **",http://cove.larc.nasa.gov/
Cocos Island,COC,Cocos (Keeling) Islands,Running,Operational,-12.193,96.835,6,9/14/2004,,"BSRN station no: 47; Surface type: grass; Topography type: flat, rural; Station scientist: Nicole Hyett (N.Hyett@bom.gov.au)",
"Concordia Station, Dome C",DOM,Antarctica,Running,Operational,-75.1,123.383,3233,1/1/2006,,"BSRN station no: 74; Surface type: glacier, accumulation area; Topography type: flat, rural; Station scientist: Angelo Lupi (a.lupi@isac.cnr.it)",http://www.italiantartide.it/?page_id=272
Darwin,DAR,Australia,Closed,Not operational,-12.425,130.891,30,6/1/2002,1/31/2015,"BSRN station no: 2; Surface type: grass; Topography type: flat, rural; Latest station scientist: Charles Long (chuck.long@noaa.gov). ** Station closed January 2015 **",
Darwin Met Office,DWN,Australia,Running,Operational,-12.424,130.8925,32,4/1/2008,,"BSRN station no: 65; Surface type: grass; Topography type: flat, rural; Station scientist: Nicole Hyett (N.Hyett@bom.gov.au)",
De Aar,DAA,South Africa,Running,Operational,-30.6667,23.993,1287,5/1/2000,,"BSRN station no: 40; Surface type: sand; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.669514; Station scientist: Lucky Ntsangwane (lucky.ntsangwane@weathersa.co.za)",
Desert Rock,DRA,"Nevada, United States of America",Running,Operational,36.626,-116.018,1007,2/1/1998,,"BSRN station no: 35; Surface type: desert, gravel; Topography type: flat, rural; Station scientist: John A. Augustine (john.a.augustine@noaa.gov)",http://www.srrb.noaa.gov/surfrad/desrock.html
Dongsha Atoll,DON,Taiwan,Candidate,Not operational,20.7,116.73,0,,,BSRN Candidate. Station no: 55; Station scientist: Carlo Wang (carlo@cc.ncu.edu.tw),
Eastern North Atlantic,ENA,Azores,Running,Operational,39.0911,-28.0292,15,9/28/2013,,BSRN station no: 77; Surface Type: grass; Topography type: hilly/rural; Horizon: doi:10.1594/PANGAEA.xxxxx; Station scientist: Charles Long (chuck.long@noaa.gov),
Eureka,EUR,"Ellesmere Island, Canadian Arctic Archipelago",Closed,Not operational,79.989,-85.9404,85,9/1/2007,12/31/2011,"BSRN station no: 19; Surface type: tundra; Topography type: hilly, rural. ** Station inactive end of 2011, being revitalized **","http://en.wikipedia.org/wiki/Eureka,_Nunavut"
Florianopolis,FLO,South Atlantic Ocean,Running,Operational,-27.6047,-48.5227,11,6/1/1994,,"BSRN station no: 3; Surface type: concrete; Topography type: mountain valley, urban; Horizon: doi:10.1594/PANGAEA.669515; Station scientist: Sergio Colle (sergio.colle@ufsc.br)",
Fort Peck,FPE,"Montana, United States of America",Running,Operational,48.3167,-105.1,634,1/1/1995,,"BSRN station no: 31; Surface type: grass; Topography type: flat, rural; Station scientist: John A. Augustine (john.a.augustine@noaa.gov)",http://www.srrb.noaa.gov/surfrad/ftpeck.html
Fukuoka,FUA,Japan,Running,Operational,33.5822,130.3764,3,4/1/2010,,"BSRN station no: 6; Surface type: asphalt; Topography type: flat, urban; Horizon from 2010 to 2014-12: doi:10.1594/PANGAEA.743875; Horizon after 2014-12: doi:10.1594/PANGAEA.845396; Station scientist: Masao Omori (rrc-jma@met.kishou.go.jp)",http://hdl.handle.net/10013/epic.44630.d041
Gandhinagar,GAN,India,Candidate,Not operational,23.1101,72.6276,65,5/19/2014,,"BSRN Candidate. Station no: 58; Plain terrain, Soil type: Riverine Alluvial soil,Station scientist: Karthik Ramanathan (karthik.niwe@nic.in)",
Georg von Neumayer,GVN,"Dronning Maud Land, Antarctica",Running,Operational,-70.65,-8.25,42,1/1/1992,,"BSRN station no: 13; Surface type: iceshelf; Topography type: flat, rural; Horizon from 1992 to 2009-01: doi:10.1594/PANGAEA.669516; Horizon after 2009-01: doi:10.1594/PANGAEA.757811; Station scientist: Holger Schmithüsen (Holger.Schmithuesen@awi.de). St",http://www.awi.de/en/science/long-term-observations/atmosphere/antarctic-neumayer.html
Gobabeb,GOB,"Namib Desert, Namibia",Running,Operational,-23.5614,15.042,407,5/15/2012,,BSRN station no: 20; Surface Type: desert gravel; Topography type: flat rural; Station scientist: Roland Vogt (Roland.Vogt@unibas.ch),
Goodwin Creek,GCR,"Mississippi, United States of America",Running,Operational,34.2547,-89.8729,98,1/1/1995,,"BSRN station no: 33; Surface type: grass; Topography type: hilly, rural; Station scientist: John A. Augustine (john.a.augustine@noaa.gov)",http://www.srrb.noaa.gov/surfrad/goodwin.html
Gurgaon,GUR,India,Candidate,Not operational,28.4249,77.156,259,4/21/2014,,"BSRN Candidate. Station no: 56; Plain terrain, Soil : Medium black soil, Station scientist: Karthik Ramanathan (karthik.niwe@nic.in)",
Howrah,HOW,India,Candidate,Not operational,22.5535,88.3064,51,6/15/2014,,"BSRN Candidate. Station no: 57; Plain terrain, Soil : Riverine Alluvial soil, Station scientist: Karthik Ramanathan (karthik.niwe@nic.in)",
Ilorin,ILO,Nigeria,Running,Operational,8.5333,4.5667,350,8/1/1992,7/31/2005,"BSRN station no: 38; Surface type: shrub; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.669517; Latest station scientist: T O Aro. ** Inactive as of mid-2005, seeking funding **",
Ishigakijima,ISH,Japan,Running,Operational,24.3367,124.1644,6,4/1/2010,,"BSRN station no: 7; Surface type: asphalt; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.743878; Station scientist: Masao Omori (rrc-jma@met.kishou.go.jp)",http://hdl.handle.net/10013/epic.44630.d026
Izaña,IZA,"Tenerife, Spain",Running,Operational,28.3093,-16.4993,2373,3/1/2009,,"BSRN station no: 61; Surface type: rock; Topography type: mountain top, rural; Station scientist: Emilio Cuevas-Agulló (ecuevasa@aemet.es)",http://www.bsrn.aemet.es/
Kwajalein,KWA,North Pacific Ocean,Running,Operational,8.72,167.731,10,3/1/1992,,"BSRN station no: 25; Surface type: water, ocean; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.669518; Station scientist: David Longenecker (David.U.Longenecker@noaa.gov)",http://www.esrl.noaa.gov/gmd/grad/sites/kwa.html
Langley Research Center,LRC,"Hampton, Virginia, USA",Running,Operational,37.1038,-76.3872,3,12/1/2014,,"BSRN station no: 49; Surface type: grass; Topography type: flat, urban; Horizon: doi:10.1594/PANGAEA.842549; Station scientist: Fred M. Denn (Frederick.M.Denn@nasa.gov)",http://capable.larc.nasa.gov/
Lauder,LAU,New Zealand,Running,Operational,-45.045,169.689,350,7/1/1998,,"BSRN station no: 60; Surface type: grass; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.669519; Station scientist: Nicole Hyett (N.Hyett@bom.gov.au)",http://gaw.empa.ch/gawsis/reports.asp?StationID=62
Lerwick,LER,"Shetland Island, United Kingdom",Running,Operational,60.1389,-1.1847,80,1/1/2001,,"BSRN station no: 51; Surface type: grass; Topography type: hilly, rural; Horizon: doi:10.1594/PANGAEA.669520; Station scientist: Jonathan Tamlyn (jonathan.tamlyn@metoffice.gov.uk)",http://hdl.handle.net/10013/epic.43134.d001
Lindenberg,LIN,Germany,Running,Operational,52.21,14.122,125,9/1/1994,,"BSRN station no: 12; Surface type: cultivated; Topography type: hilly, rural; Horizon: doi:10.1594/PANGAEA.669521; Station scientist: Klaus Behrens (Klaus.Behrens@dwd.de)",http://www.dwd.de/DE/forschung/atmosphaerenbeob/lindenbergersaeule/mol/mol_node.html
Lulin,LLN,Taiwan,Candidate,Not operational,23.4686,120.8736,2862,1/20/2009,,"BSRN Candidate. Station no: 54; Surface type: Mixed forest; Topography type: mountain top, rural; Station scientist: Carlo Wang (carlo@cc.ncu.edu.tw)",http://www.lulin.tw/
Minamitorishima,MNM,Minami-Torishima,Running,Operational,24.2883,153.9833,7,4/1/2010,,"BSRN station no: 8; Surface type: water (ocean); Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.743879; Station scientist: Masao Omori (rrc-jma@met.kishou.go.jp)",http://hdl.handle.net/10013/epic.44630.d003
Momote,MAN,Papua New Guinea,Closed,Not operational,-2.058,147.425,6,9/1/1996,10/31/2013,"BSRN station no: 29; Surface type: grass; Topography type: flat, rural; Latest station scientist: Charles Long (chuck.long@noaa.gov). ** Station closed late 2013 **",
