Code,URL,Name,Country,Latitude,Longitude,Cooperating Agency
ALT,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=ALT,"Alert, Nunavut",Canada,82.451,-62.507,Environment Canada
AMT,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=AMT,"Argyle, Maine",United States,45.035,-68.682,University of Maine
AMY,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=AMY,Anmyeon-do,Republic of Korea,36.539,126.329,"Korea Global Atmosphere Watch Center, Korea Meteorological Administration"
ASC,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=ASC,Ascension Island,United Kingdom,-7.967,-14.4,Met Office (United Kingdom)
ASK,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=ASK,Assekrem,Algeria,23.262,5.632,Office National de la Meteorologie
AZR,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=AZR,"Terceira Island, Azores",Portugal,38.766,-27.375,Instituto Nacional de Meteorologia e Geofisica
BHD,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=BHD,Baring Head Station,New Zealand,-41.408,174.871,National Institute of Water and Atmospheric Research
BKT,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=BKT,Bukit Kototabang,Indonesia,-0.202,100.318,Bureau of Meteorology and Geophysics
BMW,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=BMW,"Tudor Hill, Bermuda",United Kingdom,32.265,-64.879,Bermuda Institute of Ocean Sciences
BRW,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=BRW,"Barrow, Alaska",United States,71.323,-156.611,"NOAA Earth System Research Laboratory, Global Monitoring Division"
CBA,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=CBA,"Cold Bay, Alaska",United States,55.21,-162.72,U.S. National Weather Service
CGO,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=CGO,"Cape Grim, Tasmania",Australia,-40.683,144.69,"CSIRO, Atmospheric Research"
CHR,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=CHR,Christmas Island,Republic of Kiribati,1.7,-157.152,Dive Kiribati
CIB,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=CIB,Centro de Investigacion de la Baja Atmosfera (CIBA),Spain,41.81,-4.93,"Centro de Investigacion de la Baja Atmosfera, Univ. of Valladolid"
CPT,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=CPT,Cape Point,South Africa,-34.352,18.489,South African Weather Service
CRV,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=CRV,Carbon in Arctic Reservoirs Vulnerability Experiment (CARVE),United States,64.986,-147.598,NASA Terrestrial Ecology Program; NOAA/NESDIS/OSPO/FCDAS
CRZ,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=CRZ,Crozet Island,France,-46.434,51.848,Centre des Faibles Radioactivities/TAAF
DRP,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=DRP,Drake Passage,N/A,-59,-64.69,National Science Foundation
DSI,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=DSI,Dongsha Island,Taiwan,20.699,116.73,"National Central University, Taiwan"
EIC,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=EIC,Easter Island,Chile,-27.16,-109.428,Direccion Meteorologica de Chile
GMI,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=GMI,Mariana Islands,Guam,13.386,144.656,University of Guam/Marine Laboratory
HBA,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=HBA,"Halley Station, Antarctica",United Kingdom,-75.605,-26.21,British Antarctic Survey
HPB,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=HPB,Hohenpeissenberg,Germany,47.801,11.024,Deutscher Wetterdienst
HUN,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=HUN,Hegyhatsal,Hungary,46.95,16.65,Hungarian Meteorological Service
ICE,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=ICE,"Storhofdi, Vestmannaeyjar",Iceland,63.4,-20.288,Icelandic Meteorological Office
IZO,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=IZO,"Izana, Tenerife, Canary Islands",Spain,28.309,-16.499,Izana Observatory/Meteorological State Agency of Spain
KEY,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=KEY,"Key Biscayne, Florida",United States,25.665,-80.158,NOAA Atlantic Oceanographic and Meteorological Laboratory
KUM,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=KUM,"Cape Kumukahi, Hawaii",United States,19.52,-154.82,"NOAA Earth System Research Laboratory, Global Monitoring Division"
LEF,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=LEF,"Park Falls, Wisconsin",United States,45.945,-90.273,Wisconsin Educational Communications Board & US Forest Service; MBMAS; USDA Forest Service Forestry Sciences Laboratory; USDA Forest Service
LEW,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=LEW,"Lewisburg, Pennsylvania",United States,40.945,-76.879,"Earth Networks, Inc."
LLN,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=LLN,Lulin,Taiwan,23.47,120.87,Lulin Atmospheric Background Station
LMP,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=LMP,Lampedusa,Italy,35.52,12.62,"Ente per le Nuove tecnologie, l’Energia e l’Ambiente"
MBO,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=MBO,Mt. Bachelor Observatory,United States,43.977,-121.686,University of Washington
MEX,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=MEX,High Altitude Global Climate Observation Center,Mexico,18.984,-97.311,Sistema Internacional de Monitoreo Ambiental
MHD,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=MHD,"Mace Head, County Galway",Ireland,53.326,-9.899,"National University of Ireland, Galway"
MID,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=MID,"Sand Island, Midway",United States,28.21,-177.38,U.S. Fish and Wildlife Service
MLO,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=MLO,"Mauna Loa, Hawaii",United States,19.536,-155.576,"NOAA Earth System Research Laboratory, Global Monitoring Division"
MRC,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=MRC,Marcellus Pennsylvania,United States,41.7,-76,Penn State University
MSH,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=MSH,"Mashpee, Massachusetts",United States,41.657,-70.497,Earth Networks
MWO,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=MWO,Mt. Wilson Observatory,United States,34.225,-118.059,UCLA Astrophysics/Solar Observatory
NAT,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=NAT,Farol De Mae Luiza Lighthouse,Brazil,-5.795,-35.185,"Instituto de Pesquisas Energéticas e Nucleares, Il Centro de Química e Meio Ambiente, Divisao de Quimica Ambiental"
NMB,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=NMB,Gobabeb,Namibia,-23.58,15.03,Gobabeb Training and Research Center
NWR,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=NWR,"Niwot Ridge, Colorado",United States,40.053,-105.586,University of Colorado/INSTAAR
OXK,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=OXK,Ochsenkopf,Germany,50.03,11.808,Max Planck Institute for Biogeochemistry
PAL,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=PAL,"Pallas-Sammaltunturi, GAW Station",Finland,67.973,24.116,Finnish Meteorological Institute
PSA,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=PSA,"Palmer Station, Antarctica",United States,-64.92,-64,National Science Foundation
RPB,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=RPB,Ragged Point,Barbados,13.165,-59.432,Private Party
