SITE_ID,SITE_NAME,URL,2015_DATA_TIER,2015_DATA_START,2015_DATA_END,Latitude,Longitude,Elevation,IGBP,MAT,MAP
AR-SLu,San Luis,http://sites.fluxdata.org/AR-SLu/,"Tier1,",Tier1: 2009,Tier1: 2011,-33.4648,-66.4598,,MF,,400
,,,Tier2,Tier2: 2009,Tier2: 2011,,,,,,
AR-Vir,Virasoro,http://sites.fluxdata.org/AR-Vir/,"Tier1,",Tier1: 2009,Tier1: 2012,-28.2395,-56.1886,,ENF,,
,,,Tier2,Tier2: 2009,Tier2: 2012,,,,,,
AT-Neu,Neustift,http://sites.fluxdata.org/AT-Neu/,"Tier1,",Tier1: 2002,Tier1: 2012,47.1167,11.3175,970,GRA,6.3,852
,,,Tier2,Tier2: 2002,Tier2: 2012,,,,,,
AU-Ade,Adelaide River,http://sites.fluxdata.org/AU-Ade/,"Tier1,",Tier1: 2007,Tier1: 2009,-13.0769,131.1178,,WSA,,
,,,Tier2,Tier2: 2007,Tier2: 2009,,,,,,
AU-ASM,Alice Springs,http://sites.fluxdata.org/AU-ASM/,"Tier1,",Tier1: 2010,Tier1: 2013,-22.283,133.249,,ENF,,
,,,Tier2,Tier2: 2010,Tier2: 2014,,,,,,
AU-Cpr,Calperum,http://sites.fluxdata.org/AU-Cpr/,"Tier1,",Tier1: 2010,Tier1: 2014,-34.0021,140.5891,,SAV,,
,,,Tier2,Tier2: 2010,Tier2: 2014,,,,,,
AU-Cum,Cumberland Plains,http://sites.fluxdata.org/AU-Cum/,"Tier1,",Tier1: 2012,Tier1: 2014,-33.6133,150.7225,,EBF,,
,,,Tier2,Tier2: 2012,Tier2: 2014,,,,,,
AU-DaP,Daly River Savanna,http://sites.fluxdata.org/AU-DaP/,"Tier1,",Tier1: 2007,Tier1: 2013,-14.0633,131.3181,,GRA,,
,,,Tier2,Tier2: 2007,Tier2: 2013,,,,,,
AU-DaS,Daly River Cleared,http://sites.fluxdata.org/AU-DaS/,"Tier1,",Tier1: 2008,Tier1: 2014,-14.1593,131.3881,,SAV,,
,,,Tier2,Tier2: 2008,Tier2: 2014,,,,,,
AU-Dry,Dry River,http://sites.fluxdata.org/AU-Dry/,"Tier1,",Tier1: 2008,Tier1: 2014,-15.2588,132.3706,,SAV,,
,,,Tier2,Tier2: 2008,Tier2: 2014,,,,,,
AU-Emr,Emerald,http://sites.fluxdata.org/AU-Emr/,"Tier1,",Tier1: 2011,Tier1: 2013,-23.8587,148.4746,,GRA,,
,,,Tier2,Tier2: 2011,Tier2: 2013,,,,,,
AU-Fog,Fogg Dam,http://sites.fluxdata.org/AU-Fog/,"Tier1,",Tier1: 2006,Tier1: 2008,-12.5452,131.3072,,WET,,
,,,Tier2,Tier2: 2006,Tier2: 2008,,,,,,
AU-Gin,Gingin,http://sites.fluxdata.org/AU-Gin/,"Tier1,",Tier1: 2011,Tier1: 2014,-31.3764,115.7138,,WSA,,
,,,Tier2,Tier2: 2011,Tier2: 2014,,,,,,
AU-GWW,"Great Western Woodlands, Western Australia, Australia",http://sites.fluxdata.org/AU-GWW/,"Tier1,",Tier1: 2013,Tier1: 2014,-30.1913,120.6541,,SAV,,
,,,Tier2,Tier2: 2013,Tier2: 2014,,,,,,
AU-How,Howard Springs,http://sites.fluxdata.org/AU-How/,"Tier1,",Tier1: 2001,Tier1: 2014,-12.4943,131.1523,,WSA,,
,,,Tier2,Tier2: 2001,Tier2: 2014,,,,,,
AU-Lox,Loxton,http://sites.fluxdata.org/AU-Lox/,"Tier1,",Tier1: 2008,Tier1: 2009,-34.4704,140.6551,,DBF,,
,,,Tier2,Tier2: 2008,Tier2: 2009,,,,,,
AU-RDF,"Red Dirt Melon Farm, Northern Territory",http://sites.fluxdata.org/AU-RDF/,"Tier1,",Tier1: 2011,Tier1: 2013,-14.5636,132.4776,,WSA,,
,,,Tier2,Tier2: 2011,Tier2: 2013,,,,,,
AU-Rig,Riggs Creek,http://sites.fluxdata.org/AU-Rig/,"Tier1,",Tier1: 2011,Tier1: 2014,-36.6499,145.5759,,GRA,,
,,,Tier2,Tier2: 2011,Tier2: 2014,,,,,,
AU-Rob,"Robson Creek, Queensland, Australia",http://sites.fluxdata.org/AU-Rob/,"Tier1,",Tier1: 2014,Tier1: 2014,-17.1175,145.6301,,EBF,,
,,,Tier2,Tier2: 2014,Tier2: 2014,,,,,,
AU-Stp,Sturt Plains,http://sites.fluxdata.org/AU-Stp/,"Tier1,",Tier1: 2008,Tier1: 2014,-17.1507,133.3502,,GRA,,
,,,Tier2,Tier2: 2008,Tier2: 2014,,,,,,
AU-TTE,Ti Tree East,http://sites.fluxdata.org/AU-TTE/,"Tier1,",Tier1: 2012,Tier1: 2013,-22.287,133.64,,OSH,,
,,,Tier2,Tier2: 2012,Tier2: 2014,,,,,,
AU-Tum,Tumbarumba,http://sites.fluxdata.org/AU-Tum/,"Tier1,",Tier1: 2001,Tier1: 2014,-35.6566,148.1517,,EBF,,
,,,Tier2,Tier2: 2001,Tier2: 2014,,,,,,
