GRDC station number,WMO region,WMO subregion,nat_id,river,station,country,Latitude,Longitude,catchment size km2,height of gauge zero m above sea level,GRDC station number of next downstream GRDC station ,daily data available from year,daily data available until year,length of time series daily data,percentage of missing values (daily data),monthly data available from ,monthly data available until ,"length of time series, monthly data",percentage of missing values (monthly data),earliest data available,latest data available,"maximum length of time series, daily and monthly data","mean annual streamflow, m3/s","mean annual volume, km3","mean annual runoff depth, mm"
1104150,1,4,n.a.,CHELIF,SIDI BELATAR,DZ,36.02,0.27,43750,2,-,1978,2001,24,58.35,1976,1977,2,0,1976,2001,26,15.027,0.473891472,10.83180507
1104530,1,4,n.a.,SEBAOU,BAGHLIA,DZ,36.8,3.87,2501,20,-,,,,,1976,1979,4,0,1976,1979,4,17.581,0.554434416,221.6850924
1159100,1,59,D8H003,ORANGE,VIOOLSDRIF (27811003),ZA,-28.7578,17.7214,866486,152,-,1935,2017,83,2.75,1935,2001,67,1.64,1935,2017,83,251.811,7.941111696,9.164731682
1159105,1,59,D8H015,ORANGE,SENDELINGSDRIF,ZA,-28.0758,16.8983,985370,-999,1159100,2014,2017,4,0,,,,,2014,2017,4,32.391,1.021482576,1.036648747
1160235,1,60,E2H003,DORING,MELKBOOM,ZA,-31.8625,18.6864,24044,-999,-,1927,2017,91,1.29,,,,,1927,2017,91,12.021,0.379094256,15.76668841
1160378,1,60,J2H016,GAMKA RIVER,SPEK BOOM BERG,ZA,-33.31,21.6342,17076,-999,-,1964,2016,53,5.73,,,,,1964,2016,53,1.373,0.043298928,2.535659874
1160500,1,60,P1H003,BOESMANS,DONKER HOEK ALICEDALE,ZA,-33.3292,26.0775,1479,276,-,1957,2017,61,2.85,1958,2001,44,4.21,1957,2017,61,0.324,0.010217664,6.908494929
1160580,1,60,Q9H018,GROOT-VIS,MATOLEMA'S LOCATION OUTSPAN,ZA,-33.2378,26.9947,29745,38,-,1969,2017,49,9.36,1969,2001,33,11.83,1969,2017,49,10.663,0.336268368,11.30503843
1160684,1,60,S7H004,GREAT KEI RIVER,AREA 8 SPRINGS B,ZA,-32.5164,28.0181,484,-999,-,1990,2017,28,0.71,,,,,1990,2017,28,20.404,0.643460544,1329.463934
1160788,1,60,U2H054,MGENI,INANDA MISSION RES,ZA,-29.7151,30.8692,4084,-999,-,1989,2017,29,0.43,,,,,1989,2017,29,6.61,0.20845296,51.04137121
1160880,1,60,V5H002,TUGELA,MANDINI (27661102),ZA,-29.1403,31.3925,28920,38,-,1959,2017,59,16.85,1959,2001,43,16.83,1959,2017,59,87.213,2.750349168,95.10197676
1255100,1,55,2811M01,KUNENE RIVER,RUACANA (64740001),NA,-17.4,14.2167,91815,800,1655100,1961,2015,55,0.03,,,,,1961,2015,55,178.658,5.634158688,61.36425081
1257100,1,57,2511M01,OKAVANGO / CUBANGO,RUNDU (64932101),NA,-17.9,19.7667,104058,1060,1257101,1945,2015,71,0,,,,,1945,2015,71,175.033,5.519840688,53.04580799
1259100,1,59,0499M02,FISH RIVER (NA),AI-AIS (64812014),NA,-27.9167,17.4833,63940,243.6,-,1975,2015,41,0.13,,,,,1975,2015,41,7.844,0.247368384,3.868757961
1445100,1,45,n.a.,KOUILOU,SOUNDA,CG,-4.1,12.07,55010,8,-,,,,,1956,1982,27,13.52,1956,1982,27,874.956,27.59261242,501.5926634
1732100,1,32,1114000107,MONO,ATHIEME,BJ,6.92,1.67,21575,-999,-,1944,2007,64,35.78,1944,1992,49,28.92,1944,2007,64,118.308,3.730961088,172.9298303
1733600,1,33,1114500107,OUEME,BONOU,BJ,6.9,2.45,46990,-999,-,1948,2007,60,22.33,1948,1992,45,24.62,1948,2007,60,189.265,5.96866104,127.0198136
2178300,2,78,33620,YONGDING HE,GUANTING (GUANKING),CN,40.23,115.6,42500,-999,-,2004,2004,1,1.09,1925,1988,64,6.64,1925,2004,80,5.95,0.1876392,4.41504
2178400,2,78,25318,DALINGHE,DALINGHE,CN,41.18,121.37,17687,-999,-,2004,2004,1,61.8,1960,1979,20,0,1960,2004,45,47.956,1.512340416,85.5057622
2178500,2,78,31654,LUAN HE,LUAN XIAN,CN,39.73,118.75,44100,-999,-,2004,2004,1,1.91,1930,1988,59,15.25,1930,2004,75,14.126,0.445477536,10.10153143
2179100,2,79,23004,LIAO HE,CHILING,CN,42.2,123.5,120764,-999,-,2004,2004,1,1.91,1938,1985,48,12.85,1938,2004,67,41.907,1.321579152,10.94348607
2180800,2,80,41330,HUANG HE (YELLOW RIVER),HUAYUANKOU,CN,34.92,113.65,730036,92,-,2004,2004,1,0.55,1946,1988,43,4.68,1946,2004,59,756.234,23.84859542,32.66769779
2181900,2,81,60315,YANGTZE RIVER (CHANG JIANG),DATONG,CN,30.77,117.62,1705383,19,-,2004,2004,1,0,1922,1988,67,25.44,1922,2004,83,25069.29,790.5851294,463.5821569
2181950,2,81,51080,HUAI HE,BENGBU,CN,32.93,117.38,121330,25,-,2004,2004,1,3.11,1915,1989,75,27.96,1915,2004,90,859.861,27.1165765,223.4944078
2186800,2,86,81016,XI JIANG,WUZHOU 3,CN,23.48,111.3,329705,-999,-,2004,2004,1,0,1915,1986,72,36.57,1915,2004,90,5291.284,166.8659322,506.1067689
2186901,2,86,86124,BEI JIANG,SHIJIAO,CN,23.57,112.95,38363,-999,-,2004,2004,1,0,1954,1986,33,0,1954,2004,51,571.423,18.02039573,469.7337468
2186950,2,86,87141,DONG JIANG,BOLUO,CN,23.17,114.3,25325,7,-,2004,2004,1,0.55,1953,1987,35,0,1953,2004,52,344.996,10.87979386,429.606865
