Country,Station,Latitude,Longitude
France,JCOMMOPS DB-3100719-11042015,6.241,-10.809
(unknown),JCOMMOPS DB-1300574-06102014,35.46,-6.023
France,JCOMMOPS DB-2300772-22032014,25.33,60.6149
France,JCOMMOPS DB-1600537-02092013,-34.5,43.665
(unknown),JCOMMOPS DB-2200631-01011900,0,0
United States (the),JCOMMOPS DB-1500632-03012013,-37.1,-12.035
United States (the),JCOMMOPS DB-1700507-15042014,-28.7,-4.0587
United States (the),JCOMMOPS DB-3300557-08012015,-33.9,18.4479
United States (the),JCOMMOPS DB-1400556-01122014,-13.7,56.1956
(unknown),JCOMMOPS DB-5600522-04042007,0,0
United States (the),JCOMMOPS DB-1500503-04072014,-26.8,-26.769
United States (the),JCOMMOPS DB-4100855-15052013,39.19,-9.3308
(unknown),JCOMMOPS DB-2300584-03072015,-7.16,61.626
Spain,JCOMMOPS MB-6100198-01031998,36.57,-2.34
United States (the),JCOMMOPS DB-6200932-29052014,38.38,5.067
United States (the),JCOMMOPS DB-1500673-09112014,-28.5,-12.9501
(unknown),JCOMMOPS DB-6200677-01011900,0,0
United States (the),JCOMMOPS DB-3100512-13112014,-36,-24.0282
United States (the),JCOMMOPS DB-1400928-27052014,-29.9,36.219
United States (the),JCOMMOPS DB-1300590-15092014,31.21,-22.0441
(unknown),JCOMMOPS DB-2300519-23112012,26.52,57.121
(unknown),JCOMMOPS MB-1400046-01011900,11.52,-22.992
United Kingdom (the),JCOMMOPS DB-3100733-22052007,0,0
United States (the),JCOMMOPS DB-4100978-17092013,39.05,-27.977
(unknown),JCOMMOPS DB-2200529-01011900,0,0
Spain,JCOMMOPS MB-1300131-01041998,28,-16.58
United States (the),JCOMMOPS DB-1400920-25122013,-26.3,50.068
United Kingdom (the),JCOMMOPS DB-3100866-06112013,-33.9,-20.863
United States (the),JCOMMOPS DB-1400950-15042014,2.217,45.715
(unknown),JCOMMOPS DB-6400527-01011900,0,0
United States (the),JCOMMOPS DB-1400930-10122013,-36.3,20.8047
France,JCOMMOPS DB-1600535-10092012,-35.3,54.711
United States (the),JCOMMOPS DB-3300653-21042014,0,0
Italy,JCOMMOPS DB-6101583-15112015,33.46,35.303
(unknown),JCOMMOPS DB-4400775-11102004,0,0
United States (the),JCOMMOPS DB-3300582-04042015,-31.7,-21.6873
(unknown),JCOMMOPS DB-3100863-01011900,0,0
(unknown),JCOMMOPS DB-2300506-24102014,26.64,55.858
United States (the),JCOMMOPS DB-6101614-11062014,38.24,15.436
United States (the),JCOMMOPS DB-4400839-04032014,31.01,-18.483
United States (the),JCOMMOPS DB-1500617-05092014,-24.9,-19.0228
United States (the),JCOMMOPS DB-5300908-28052014,-2.16,41.08
United States (the),JCOMMOPS DB-1500656-19092014,-27.7,-14.5805
United States (the),JCOMMOPS MB-1300010-01021998,0.001,0.002
United States (the),JCOMMOPS DB-1300529-14012015,15.07,-23.4839
(unknown),JCOMMOPS DB-1700520-01011900,0,0
France,JCOMMOPS DB-1600617-18112013,-36.5,21.284
United States (the),JCOMMOPS DB-1500659-16092014,-29.8,-7.3835
United States (the),JCOMMOPS DB-2300678-26052013,1.816,44.8623
United States (the),JCOMMOPS DB-4100933-09072013,0,0
United States (the),JCOMMOPS DB-3300657-21042014,0,0
United States (the),JCOMMOPS DB-1400549-14072013,-33.3,40.6801
(unknown),JCOMMOPS DB-2200618-01011900,0,0
United States (the),JCOMMOPS DB-3300668-29082014,-39.1,24.7604
(unknown),JCOMMOPS DB-2100945-01011900,0,0
United States (the),JCOMMOPS DB-3300651-21042014,0,0
(unknown),JCOMMOPS DB-4400604-05052006,0,0
Italy,JCOMMOPS DB-6101574-22032014,33.11,22.825
(unknown),JCOMMOPS DB-2200614-01011900,0,0
(unknown),JCOMMOPS DB-7100627-01011900,0,0
United States (the),JCOMMOPS DB-1400544-04052014,-11.6,43.258
(unknown),JCOMMOPS MB-1300002-27012013,20.43,-23.134
(unknown),JCOMMOPS DB-4400766-09092008,0,0
(unknown),JCOMMOPS DB-2200534-01011900,0,0
(unknown),JCOMMOPS DB-2200526-01011900,0,0
(unknown),JCOMMOPS DB-2200629-01011900,0,0
(unknown),JCOMMOPS DB-2200613-01011900,0,0
United States (the),JCOMMOPS DB-1500627-05092014,-30.7,-19.9947
United States (the),JCOMMOPS DB-1500657-19092014,-28.9,-16.7679
(unknown),JCOMMOPS DB-6400524-28062004,0,0
(unknown),JCOMMOPS DB-2200617-01011900,0,0
United States (the),JCOMMOPS DB-1500507-04052015,-19.9,-22.4299
United States (the),JCOMMOPS DB-1400560-27052014,-34.8,63.74
United States (the),JCOMMOPS DB-3200674-12062013,0,0
France,JCOMMOPS DB-3100862-27042014,4.449,5.793
(unknown),JCOMMOPS MB-6100209-27112009,38.25,13.333
France,JCOMMOPS MB-6100289-18012011,0,0
(unknown),JCOMMOPS DB-4400608-29052007,0,0
United States (the),JCOMMOPS DB-4400885-30052014,28.63,-18.398
United States (the),JCOMMOPS DB-3100513-02122013,-34.1,-14.0189
United States (the),JCOMMOPS DB-1400558-18072013,-27.7,55.3853
Italy,JCOMMOPS DB-6101582-15112015,35.55,29.952
United States (the),JCOMMOPS DB-1500504-02122014,-28.3,-25.4171
(unknown),JCOMMOPS MB-6100210-13112009,39.02,17.22
United States (the),JCOMMOPS DB-1400534-27082014,-34.7,19.61
United States (the),JCOMMOPS DB-1500629-01012013,-29.5,11.2416
United States (the),JCOMMOPS DB-3300518-03052015,-35.6,-18.6237
France,JCOMMOPS DB-1600643-10122013,-32,59.993
United States (the),JCOMMOPS DB-1400551-19072013,-12.8,61.688
United Kingdom (the),JCOMMOPS DB-3100735-22052007,0,0
(unknown),JCOMMOPS DB-3100717-01011900,0,0
(unknown),JCOMMOPS DB-6200513-16032011,0,0
(unknown),JCOMMOPS DB-2200625-01011900,0,0
(unknown),JCOMMOPS MB-1500007-11062013,-6,7.9852
United States (the),JCOMMOPS DB-6200907-27052014,37.19,10.2137
(unknown),JCOMMOPS DB-2200536-01011900,0,0
United States (the),JCOMMOPS DB-1400922-09122013,-38.6,53.9208
Italy,JCOMMOPS DB-6101584-15112015,31.55,31.891
United States (the),JCOMMOPS DB-1400565-09122014,1.114,44.0269
United Kingdom (the),JCOMMOPS DB-1300665-10102015,21.62,-18.041
(unknown),JCOMMOPS DB-1400511-14112015,-24.3,57.338
United States (the),JCOMMOPS DB-1600521-21042015,-39.2,60.7263
Italy,JCOMMOPS DB-6101580-04102015,35.41,-5.069
(unknown),JCOMMOPS MB-3100007-01031999,0.003,-22.984
Italy,JCOMMOPS DB-6101581-15112015,33.57,31.408
(unknown),JCOMMOPS DB-6400606-22112002,0,0
(unknown),JCOMMOPS DB-1500501-26082010,-31.5,-12.368
United States (the),JCOMMOPS DB-1500672-09112014,-26.2,-18.3283
United Kingdom (the),JCOMMOPS DB-3100718-11062013,-35.7,56.988
United States (the),JCOMMOPS DB-6200935-29052014,32.98,28.675
United Kingdom (the),JCOMMOPS DB-1300668-04072014,5.132,5.398
(unknown),JCOMMOPS MB-6200192-01011900,39.54,-9.632
(unknown),JCOMMOPS DB-1500637-02122013,-26.1,-19.305
United States (the),JCOMMOPS DB-4100997-19092013,0,0
United States (the),JCOMMOPS DB-1300905-27052014,35.93,15.2169
(unknown),JCOMMOPS DB-4400761-21092005,0,0
United States (the),JCOMMOPS DB-3300631-08042014,-28,-5.9534
United States (the),JCOMMOPS DB-1400551-02122014,1.562,44.556
United States (the),JCOMMOPS DB-4400556-17032014,28.34,-20.8535
United States (the),JCOMMOPS DB-3300600-31032014,-34.5,-15.9125
(unknown),JCOMMOPS DB-3300667-25092011,-33.4,-13.028
France,JCOMMOPS DB-3100720-11042015,4.554,7.999
(unknown),JCOMMOPS DB-1400538-30062015,-21.4,58.702
United States (the),JCOMMOPS DB-6101605-25052014,39.59,5.139
United States (the),JCOMMOPS DB-6200941-02062014,30.89,-16.46
Italy,JCOMMOPS DB-6101577-04102015,36.12,0.249
United States (the),JCOMMOPS MB-6101600-02122014,37.33,9.6568
(unknown),JCOMMOPS DB-2300509-29092014,11.51,53.003
United States (the),JCOMMOPS DB-6101613-11062014,0,0
France,JCOMMOPS DB-1400530-07122013,-35.1,46.31
(unknown),JCOMMOPS DB-6200906-28052014,39.18,9.0518
United States (the),JCOMMOPS DB-5600607-17092013,-29.9,54.5738
United States (the),JCOMMOPS DB-5300521-06072014,-8.87,63.2952
