Country,Station,Latitude,Longitude
Germany,JCOMMOPS DE-VOS-DFDH2-29092006,-28.8,34.8
United States (the),JCOMMOPS US-VOS-3EBR5-01122007,21.1,38.4
United States (the),JCOMMOPS US-VOS-V7CZ2-01112001,35.39,24
United States (the),JCOMMOPS US-VOS-WMHA-12072013,36,-3.9
Germany,JCOMMOPS DE-VOS-A8SO7-13032009,11.6,43.2
Netherlands,JCOMMOPS NL-VOS-PBEN-01012000,37.29,24.2
Australia,JCOMMOPS AU-VOS-VRGH7-16092013,-27.8,37
Germany,JCOMMOPS DE-VOS-V7DS3-04092003,12.9,48.6
Germany,JCOMMOPS DE-VOS-A8SO8-13082009,33.1,-8.7
United States (the),JCOMMOPS US-VOS-3FNF4-14072011,-31.8,33.5
United Kingdom (the),JCOMMOPS GB-VOS-V7OE5-06032015,25.69,56.6
(unknown),JCOMMOPS EU-VOS-BATEU07-01122009,39.79,-19.6
United Kingdom (the),JCOMMOPS GB-VOS-OZDJ2-17032009,32.39,25.9
Netherlands,JCOMMOPS NL-VOS-PBHZ-01012000,31.39,-13.4
(unknown),JCOMMOPS ZY-VOS-A8OY9-07072008,36.2,25.1
Germany,JCOMMOPS DE-VOS-A8VD8-25032009,35.5,35.4
Germany,JCOMMOPS DE-VOS-A8JR4-24092004,35.29,-17.5
United Kingdom (the),JCOMMOPS GB-VOS-2AKI3-14032008,24.1,-18.2
United States (the),JCOMMOPS US-VOS-A8KX2-17092015,25.8,35.2
Germany,JCOMMOPS DE-VOS-A8RV6-25062009,36.79,1.4
Germany,JCOMMOPS DE-VOS-DGXS-24112001,21,38.2
Japan,JCOMMOPS JP-VOS-7JFI-01012000,12.6,47.1
United Kingdom (the),JCOMMOPS GB-VOS-MVEP4-20091995,33.1,28.6
Germany,JCOMMOPS DE-VOS-DDKK2-17102011,36.39,-6.4
United Kingdom (the),JCOMMOPS GB-VOS-VRKZ6-13012011,-9.9,13
Germany,JCOMMOPS DE-VOS-D5BA9-09112009,15.3,41.8
United Kingdom (the),JCOMMOPS GB-VOS-C6UT5-02022016,25.6,56.6
United States (the),JCOMMOPS US-VOS-WMDQ-08082013,36.29,-27.9
Germany,JCOMMOPS DE-VOS-D5CT8-24042008,38.5,9.7
Japan,JCOMMOPS JP-VOS-9V8738-01012000,-25.5,54
Germany,JCOMMOPS DE-VOS-9HWT7-18112005,-4.4,-18.3
(unknown),JCOMMOPS EU-VOS-BAREU72-18052013,39.95,25.92
France,JCOMMOPS FR-VOS-BATFR56-01042009,11.8,43.1
Netherlands,JCOMMOPS NL-VOS-PCBZ-01012000,22.3,-17.3
United Kingdom (the),JCOMMOPS GB-VOS-ZCBW2-08101998,33.29,29
Japan,JCOMMOPS JP-VOS-3FWO7-01012000,37.6,6.7
Greece,JCOMMOPS GR-VOS-SXWC-01102009,36.79,23.4
New Zealand,JCOMMOPS NZ-VOS-V7DP7-07122015,0,0
United Kingdom (the),JCOMMOPS GB-VOS-TBWUK49-14092010,25.19,56.5
Germany,JCOMMOPS DE-VOS-ELWP5-01122004,32.1,28.3
Netherlands,JCOMMOPS NL-VOS-PCER-01012000,36,-12.7
