Station Name,Longitude,Latitude
SACTN Cwebe,28.89445,-32.2605
Lower Letaba River,30.979352,-23.670688
Kruger National Park,31.432018,-23.754868
Witklip - CSIR,30.83,-25.2
Uitsoek - CSIR,30.57,-25.28
SACTN Saxon,32.8877,-26.9272
SACTN Sodwana,32.7100415,-27.472836
SACTN Leadsman Shoal,32.6036,-27.87365
Isawil Farm,26.953128,-27.894581
iSimangaliso Artificial Reefs,32.56018,-28.16133
SACTN Richards Bay,32.0722235,-28.817538
SACTN Antsey's Beach,31.02095,-29.2257
SACTN Port Nolloth,16.86742267,-29.25710133
SACTN Zinkwazi,31.4419065,-29.284484
SACTN Blythedale,31.351884,-29.372731
SACTN Tinley Manor,31.286848,-29.449854
SACTN Salt Rock,31.2459585,-29.4963215
SACTN Ballito,31.23722133,-29.518689
SACTN Thompson's Bay,31.228013,-29.521815
Deelpan Farm,22.402639,-29.584778
SACTN Westbrook,31.171944,-29.591409
SACTN La Mercy,31.139958,-29.635194
SACTN Umdloti,31.120519,-29.66801
SACTN Umhlanga Rocks,31.080595,-29.740594
SACTN Durban,31.0436165,-29.8604555
SACTN Brighton Beach,31.007161,-29.939674
SACTN Isipingo,30.953867,-29.992879
SACTN Amanzimtoti,30.891112,-30.050921
SACTN Warner Beach,30.868283,-30.084807
SACTN Winkelspruit,30.861936,-30.097695
SACTN Karridene,30.849952,-30.124541
SACTN Umgababa,30.837709,-30.14325
SACTN Scottburgh,30.760474,-30.2845895
SACTN Hondeklipbaai,17.269506,-30.311815
SACTN Park Rynie,30.743596,-30.31303
SACTN Kent Bay,30.317393,-30.317393
SACTN Aliwal Shoal,30.73575,-30.3621585
SACTN Ifafa,30.66349,-30.441029
SACTN Mtwalumi,30.633764,-30.48945
SACTN Hibberdene,30.581179,-30.56686
SACTN Umzumbe,30.572105,-30.583226
SACTN Banana Beach,30.517721,-30.659564
SACTN Sunwich Port,30.513752,-30.667387
SACTN South Port,30.51095,-30.672371
SACTN Umtentweni,30.482679,-30.7102965
SACTN St Michaels,30.4,-30.817
SACTN Uvongo,30.396694,-30.834578
SACTN Margate,30.378325,-30.856657
SACTN Ramsgate,30.372211,-30.862824
SACTN Southbroom,30.325099,-30.920302
SACTN Marina Beach,30.308648,-30.936647
SACTN San Lameer,30.304701,-30.9432
SACTN Trafalgar,30.301379,-30.952113
SACTN Glenmore,30.268477,-30.997425
SACTN Leisure Bay,30.24596,-31.022952
SACTN T.O. Strand,30.233,-31.033
SACTN Port Edward,30.2225645,-31.0473315
SACTN Caribbean Bay,30.206207,-31.070853
SACTN Mzamba,30.183949,-31.097042
SACTN Dead Whale Gulley,17.89035,-31.33109
SACTN Doringbaai,18.230653,-31.817079
SACTN Lamberts Bay,18.302622,-32.091846
Koppieskraal farm,21.87333,-32.09667
SACTN Dwesa,28.92278,-32.2425
Kamferskraal farm,23.046667,-32.243333
SACTN Elands Bay,18.322222,-32.316667
