Name,Longitude,Latitude
Cape Agulhas - 0003020 4,20.01,-34.83
Struisbaai - 0003108A7,20.06,-34.8
Cape Town Slangkop - 0004549 2,18.32,-34.15
Cape Point - 0004891 9,18.49,-34.35
Strand - 0005609 8,18.85,-34.14
Elgin Exp Farm - 0006038 5,19.02,-34.14
Hermanus - 0006386A7,19.22,-34.43
Tygerhoek - 0007699A0,19.9,-34.15
Riversdale - 0010426 8,21.25,-34.1
Stilbaai - 0010682 0,21.4,-34.37
Mosselbay - 0012221 5,22.13,-34.19
George Wo - 0012661 7,22.38,-34.02
Knysna - 0014123 3,23.09,-34.06
Plettenbergbaai - 0014545 4,23.33,-34.09
Tsitsikamma - 0015692A4,23.91,-34.03
Cape St Francis - 0017582A1,24.86,-34.21
Robbeneiland - 0020618 X,18.37,-33.8
Molteno Reservoir - 0020746 6,18.41,-33.94
Cape Town - Portnet - 0020805 3,18.45,-33.91
Cape Town Wo - 0021178A3,18.6,-33.97
Ct-Aws - 0021178B8,18.6,-33.97
Paarl - 0021823 0,18.97,-33.72
Worcester-Aws - 0022729 X,19.42,-33.66
Oudtshoorn - 0028306 5,22.19,-33.6
George Witfontein - 0028776 9,22.43,-33.94
Joubertina Aws - 0031650A4,23.86,-33.84
Patensie - 0033556 5,24.82,-33.77
Uitenhage - 0034763 X,25.44,-33.71
Port Elizabeth Wo - 0035209B1,25.61,-33.98
Ngqura (Coega) - 0035288 9,25.67,-33.81
Bird Island - 0036500 7,26.29,-33.84
Port Alfred - Airport - 0037574 1,26.88,-33.56
Geelbek - 0040192 4,18.12,-33.2
Malmesbury - 0041388 0,18.72,-33.47
Porterville - 0041841 X,18.98,-33.01
Laingsburg - 0045642 0,20.87,-33.2
Ladismith - 0046480 6,21.28,-33.5
Willowmore - 0050887 2,23.48,-33.3
Somerset East - 0055363 1,25.72,-33.05
Addo Elephant Park - 0055447A7,25.75,-33.44
Grahamstown - 0056917 8,26.5,-33.29
East London Wo - 0059572B8,27.83,-33.03
Cape Columbine - 0060620 9,17.86,-32.83
Langebaanweg Aws - 0061298 8,18.16,-32.97
Excelsior Ceres - 0063807 2,19.43,-32.96
Fort Beaufort - 0078227A3,26.63,-32.79
Bisho - 0079504 X,27.28,-32.9
Dohne - Agr - 0079811A0,27.47,-32.54
Lambertsbaai Nortier - 0083572 8,18.33,-32.03
Clanwilliam - 0084671 0,18.88,-32.18
Sutherland - 0088293A6,20.66,-32.4
Beaufort-Wes - 0092081 5,22.58,-32.36
Graaff - Reinet - 0096072 5,24.54,-32.19
Cradock-Mun - 0098190B6,25.63,-32.17
Vredendal - 0106880A2,18.5,-31.67
Fraserburg - 0113025A2,21.51,-31.92
Queenstown - 0123685 X,26.88,-31.92
Umtata Wo - 0127272A4,28.67,-31.53
Nieuwoudtville - 0133140 X,19.09,-31.34
Calvinia Wo - 0134479A3,19.76,-31.48
Noupoort - 0144791 2,24.97,-31.19
Jamestown - 0148517A9,26.81,-31.12
Elliot - 0150620AX,27.85,-31.34
Port Edward - 0155394A5,30.23,-31.07
Garies-Groenrivier - 0157111 3,17.58,-30.87
De Aar Wo - 0169880 1,24,-30.67
Gariep Dam - 0173032 4,25.53,-30.53
Aliwal-North Plaatkop - 0175678A0,26.88,-30.84
Barkly-Oos (Caerleon) - 0177176 4,27.6,-30.93
Paddock - 0182465 7,30.26,-30.75
Margate - 0182591A4,30.33,-30.85
Koingnaas - 0184491 4,17.29,-30.2
Brandvlei - 0190868 1,20.48,-30.47
Vanwyksvlei - 0193561A8,21.82,-30.35
Matatiele - 0207531 0,28.8,-30.34
Ixopo - 0210099A7,30.07,-30.15
Pennington South - 0211324 3,30.69,-30.4
Springbok Wo - 0214700B2,17.89,-29.67
Prieska - 0224400 8,22.73,-29.67
Wepener - 0232654 4,26.87,-29.9
Shaleburn - 0237618A9,29.35,-29.79
Cedara - 0239482 0,30.27,-29.54
