Name,SymbolID,Status2,Longitude,Latitude
Aberdeen,0,Operational,-2.08,57.14
Acajutla_SV,0,Operational,-89.838128,13.573792
Acapulco_MX,1,Not operational,-99.9166,16.8333
Acapulco2,0,Operational,-99.9033333,16.8383333
Atlantic_City_NJ,0,Operational,-74.4183,39.355
Atlantic_City_NJ,0,Operational,-74.4183,39.355
Acapulco Club de Yates,0,Operational,-99.90298,16.83799
Adak_AK,0,Operational,-176.632,51.863
Adak_AK,0,Operational,-176.632,51.863
Aguadilla (Crash Boat),1,Not operational,-67.165,18.4583333
Alitak_US,0,Operational,-154.2481,56.8975
Alitak_US,0,Operational,-154.2481,56.8975
Alameda_CA,0,Operational,-122.298,37.772
Alameda_CA,1,Not operational,-122.298,37.772
Albufeira,1,Not operational,-8.260396,37.08254
Alert,1,Not operational,-62.32,82.49
Algeciras,0,Operational,-5.39838,36.177
Almeria,0,Operational,-2.47835,36.83002
Alvarado,0,Operational,-95.766667,18.766667
Charlotte-Amalie_VI,1,Not operational,-64.92,18.335
Charlotte-Amalie_VI,0,Operational,-64.92,18.335
Anchorage_AK,0,Operational,-149.888,61.238
Anchorage_AK,1,Not operational,-149.888,61.238
Apalachicola_FL,0,Operational,-84.982,29.727
Apalachicola_FL,0,Operational,-84.982,29.727
"Lawma, Amerada Pass, LA",0,Operational,-91.3381,29.4496
"Lawma, Amerada Pass, LA",0,Operational,-91.3381,29.4496
Arecibo,0,Operational,-66.7024,18.4805
Arecibo (GTS),0,Operational,-66.7024,18.4805
Arcachon Eyrac,0,Operational,-1.16355,44.665
Arcachon Eyrac 2,0,Operational,-1.16355,44.665
Arena_Cove_CA,0,Operational,-123.705,38.913
Arena_Cove_CA,0,Operational,-123.705,38.913
Arrecife,0,Operational,-13.53006,28.97188
Arrifana,1,Not operational,-8.869385,37.295569
Astoria_OR,0,Operational,-123.767,46.208
Astoria_OR,0,Operational,-123.767,46.208
"Atka, AK",0,Operational,-174.173,52.2317
Audierne,0,Operational,-4.5372,48.0216
Audierne 2,0,Operational,-4.5372,48.0216
Avonmouth Portbury,0,Operational,-2.73,51.5
"Ballyglass pier, Belmullet",0,Operational,-9.89,54.253
Baltimore_MD,0,Operational,-76.578,39.267
Baltimore_MD,0,Operational,-76.578,39.267
Bar_Harbor_ME,0,Operational,-68.205,44.3916
Bar_Harbor_ME,0,Operational,-68.205,44.3916
Bamfield,0,Operational,-125.14,48.84
Bangor,0,Operational,-5.67,54.66
Barahona,0,Operational,-71.092154,18.208137
Barbuda,0,Operational,-61.8206,17.5907
Barbuda,0,Operational,-61.8206,17.5907
Barmouth,0,Operational,-4.05,52.72
Basseterre (Coast Guard Base),1,Not operational,-62.7097333,17.2900333
Bella Bella,0,Operational,-128.14,52.16
Bocas Del Toro,0,Operational,-82.257703,9.350921
Beaufort_NC,0,Operational,-76.67,34.72
Beaufort_NC,0,Operational,-76.67,34.72
Bridgeport_CT,0,Operational,-73.1816,41.1733
Bridgeport_CT,0,Operational,-73.1816,41.1733
Bilbao3,0,Operational,-3.04513,43.35153
Blowing Point,1,Not operational,-63.0926167,18.1710861
Bermuda_UK,0,Operational,-64.7,32.36667
Banjul,1,Not operational,-16.5733333,13.4430556
Boston_MA,1,Not operational,-71.0516,42.355
Bonanza2,0,Operational,-6.33813,36.80221
Boucau-Bayonne,0,Operational,-1.51483,43.5273
Boucau-Bayonne 2,1,Not operational,-1.51483,43.5273
Bournemouth,0,Operational,-1.87,50.71
Brest,0,Operational,-4.5,48.38
Bridgetown Port,1,Not operational,-59.629,13.108
Barbers Point,1,Not operational,-158.1193,21.3218
Battery_The_NY,0,Operational,-74.02,40.7
Battery_The_NY,0,Operational,-74.02,40.7
Bullen Bay,0,Operational,-69.0196139,12.1873306
Buenaventura,1,Not operational,-77.0808,3.8906
Buenaventura,0,Operational,-77.0808,3.8906
Carrie Bow Cay,0,Operational,-88.08202,16.80283
Cabo_San_Lucas_MX,1,Not operational,-109.91,22.87861
Cadiz,1,Not operational,-6.280612,36.54214
