WMO Region,Country,Station,Latitude,Longitude,Elevation,WMO Index,URL
Africa,Algeria,EL-GOLEA,30.56666667,2.866666667,398,0-20000-0-60590,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8214
Africa,Algeria,IN-AMENAS,28.05,9.633333333,563,0-20000-0-60611,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8221
Africa,Algeria,TAMANRASSET,22.8,5.433333333,1377,0-20000-0-60680,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8251
Africa,Algeria,DAR-EL-BEIDA,36.68333333,3.216666667,25,0-20000-0-60390,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8165
Africa,Angola,MOCAMEDES,-15.2,12.15,43,0-20000-0-66422,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8936
Africa,Angola,LUANDA,-8.85,13.23333333,74,0-20000-0-66160,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8918
Africa,Angola,MENONGUE (SERPA PINTO),-14.65,17.68333333,1348,0-20000-0-66410,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8935
Africa,Angola,WAKU KUNGU (CELA),-11.41666667,15.11666667,1304,0-20000-0-66270,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8927
Africa,Angola,LUBANGO (SA DA BANDEIRA),-14.93333333,13.56666667,1760,0-20000-0-66390,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8934
Africa,Angola,MAVINGA,-15.83333333,20.35,1118,0-20000-0-66447,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8937
Africa,Angola,PEREIRA DE ECA,-17.08333333,15.73333333,1108,0-20000-0-66460,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8939
Africa,Angola,DUNDO,-7.4,20.81666667,775,0-20000-0-66152,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8917
Africa,Benin,KANDI,11.13333333,2.933333333,290,0-20000-0-65306,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8845
Africa,Benin,SAVE,8.033333333,2.466666667,199,0-20000-0-65335,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8848
Africa,Botswana,MAUN,-19.98333333,23.41666667,945,0-20000-0-68032,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/9125
Africa,Burkina Faso,DORI,14.03333333,-0.033333333,276,0-20000-0-65501,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8883
Africa,Burkina Faso,BOROMO,11.73333333,-2.916666667,264,0-20000-0-65516,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8889
Africa,Burundi,MUYINGA,-2.833333333,30.33333333,1755,0-20000-0-64397,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8714
Africa,Cabo Verde,MINDELO,16.83361111,-25.05472222,20,0-20000-0-08583,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/2743
Africa,Cameroon,NGAOUNDERE,7.35,13.56666667,1114,0-20000-0-64870,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8780
Africa,Chad,AM-TIMAN,11.03333333,20.28333333,433,0-20000-0-64754,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8771
Africa,Chad,MOUNDOU,8.566666667,16.06666667,428,0-20000-0-64706,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8764
Africa,Chad,FAYA,18,19.16666667,235,0-20000-0-64753,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8770
Africa,Chad,NDJAMENA,12.13333333,15.03333333,295,0-20000-0-64700,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8760
Africa,Chad,ATI,13.21666667,18.31666667,333,0-20000-0-64751,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8769
Africa,Congo,IMPFONDO,1.616666667,18.06666667,335,0-20000-0-64459,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8726
Africa,Congo (Democratic Republic of the),MANONO (64282-0),-7.283333333,27.43333333,614,0-20000-0-64282,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8699
Africa,Congo (Democratic Republic of the),LODJA,-3.483333333,23.46666667,479,0-20000-0-64146,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8672
Africa,Congo (Democratic Republic of the),KISANGANI,0.516666667,25.18333333,415,0-20000-0-64040,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8660
Africa,Cote d'Ivoire,ADIAKE,5.3,-3.3,33,0-20000-0-65585,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8903
Africa,Cote d'Ivoire,SASSANDRA,4.95,-6.083333333,62,0-20000-0-65599,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8906
Africa,Egypt,BAHARIA,28.33333333,28.9,127.47,0-20000-0-62420,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8474
Africa,Egypt,KHARGA AGRIMET,25.46444444,30.5425,58.52,0-20000-0-62435,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8478
Africa,Egypt,MERSA MATRUH,31.32527778,27.22166667,28.96,0-20000-0-62306,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8444
Africa,Egypt,HURGUADA,27.17861111,33.80083333,15.84,0-20000-0-62463,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8490
Africa,Egypt,HELWAN,29.86277778,31.34916667,139.3,0-20000-0-62378,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8461
Africa,Egypt,SIWA,29.2,25.48333333,-15,0-20000-0-62417,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8472
Africa,Egypt,ASSWAN,23.96444444,32.82,201.78,0-20000-0-62414,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8471
Africa,Eritrea,ASMARA,15.28333333,38.91666667,,0-20000-0-63021,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8536
Africa,Ethiopia,METEHARA,8.866666667,39.9,,0-20000-0-63453,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8573
Africa,Ethiopia,NEGHELLE,5.333333333,39.56666667,,0-20000-0-63533,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8579
Africa,Ethiopia,GORE,8.15,35.53333333,,0-20000-0-63403,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8570
Africa,Ethiopia,ADDIS ABABA-BOLE,9.033333333,38.75,,0-20000-0-63450,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8571
Africa,France,PORT-AUX-FRANCAIS (ILES KERGUELEN),-49.35222222,70.24333333,29,0-20000-0-61998,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8413
Africa,France,ILE EUROPA,-22.34416667,40.34055556,6,0-20000-0-61972,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8399
Africa,France,MARTIN DE VIVIES (ILE AMSTERDAM),-37.79527778,77.56916667,27,0-20000-0-61996,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8411
Africa,France,ALFRED FAURE (ILES CROZET),-46.4325,51.85666667,146,0-20000-0-61997,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8412
Africa,Kenya,MOMBASA INTERNATIONAL AIRPORT,-4.015,39.60638889,5.49,0-20000-0-63820,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8628
Africa,Kenya,JOMO KENYATTA NTERNATIONAL AIRPORT,-1.3275,36.91638889,1624.28,0-20000-0-63740,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8613
Africa,Kenya,GARISSA,-0.476666667,39.64861111,143,0-20000-0-63723,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8608
Africa,Kenya,LODWAR,3.118611111,35.64,505.97,0-20000-0-63612,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8581
