WMO Region,Country,Station,Latitude,Longitude,Elevation,WMO Index,URL
Africa,Algeria,ADRAR,27.81666667,-0.183333333,280,0-20000-0-60620,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8226
Africa,Algeria,KSAR CHELLALA,35.16666667,2.316666667,801,0-20000-0-60514,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8192
Africa,Algeria,EL-KHEITER,34.15,0.066666667,1000,0-20000-0-60540,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8202
Africa,Algeria,TALMINIE,29.16666667,-0.3,,0-20000-0-60595,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8216
Africa,Algeria,ALGER-PORT,36.76666667,3.1,9,0-20000-0-60369,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8156
Africa,Algeria,TLEMCEN-ZENATA,35.01666667,-1.466666667,248,0-20000-0-60531,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8199
Africa,Algeria,BECHAR,31.5,-2.25,811,0-20000-0-60571,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8211
Africa,Algeria,GUELMA,36.46666667,7.466666667,227,0-20000-0-60403,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8170
Africa,Algeria,TENES,36.5,1.333333333,17,0-20000-0-60410,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8171
Africa,Algeria,AIN-BESSAM,36.28333333,3.666666667,748,0-20000-0-60415,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8172
Africa,Algeria,CONSTANTINE,36.28333333,6.616666667,706,0-20000-0-60419,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8173
Africa,Algeria,TINTARABINE,23.18333333,6.766666667,1105,0-20000-0-60682,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8253
Africa,Algeria,BORDJ-BADJ-MOKHTAR,21.33333333,0.95,398,0-20000-0-60686,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8255
Africa,Algeria,ADEB LERRACH,27.4,8.833333333,,0-20000-0-60623,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8228
Africa,Algeria,ABDENNIZI,25.21666667,5.116666667,800,0-20000-0-60661,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8238
Africa,Algeria,IN AZZANE,23.48333333,11.23333333,912,0-20000-0-60676,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8248
Africa,Algeria,TARF,36.75,8.083333333,3,0-20000-0-60368,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8155
Africa,Algeria,BENI-SAF,35.3,-1.35,68,0-20000-0-60518,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8195
Africa,Algeria,TAMAZGUIDA,27.31666667,3.716666667,354,0-20000-0-60617,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8224
Africa,Algeria,IN-SALAH,27.23333333,2.5,273,0-20000-0-60630,https://oscar.wmo.int/surface/index.html#/search/station/stationReportDetails/8230
